id,title,filtered_words,label
R129,New Report on Election,"['new', 'report', 'election', 'realize', 'president', 'evening', 'film', 'truth', 'later.', 'force', 'whether', 'leave', 'blue', 'market.', 'food', 'sit', 'scientist.', 'kitchen', 'hundred', 'behavior', 'stop', 'near.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['new', 'report', 'climate', 'change', 'surface', 'pull', 'week', 'know', 'once.', 'natural', 'room', 'age', 'daughter', 'imagine', 'site', 'enjoy.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['aliens', 'confirmed', 'sources', 'tv', 'court', 'remember', 'final', 'think', 'state.', 'deep', 'capital', 'often.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['new', 'report', 'policy', 'story', 'skill', 'seek', 'unit', 'create', 'too.', 'finish', 'medical', 'adult', 'interest', 'oil', 'idea.', 'dark', 'change', 'relationship', 'cell', 'performance', 'owner.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['mind', 'control', 'confirmed', 'sources', 'person', 'huge', 'return', 'trade', 'body.', 'reveal', 'soon', 'drug', 'our.', 'eight', 'month', 'show', 'drive', 'military.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['new', 'report', 'policy', 'always', 'hospital', 'actually.', 'stuff', 'goal', 'leader', 'us', 'water', 'cost.', 'court', 'security', 'company', 'thought', 'market', 'choose', 'seat.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['new', 'report', 'public', 'health', 'nice', 'enough', 'try', 'argue', 'board', 'become.', 'source', 'contain', 'nothing', 'show', 'address', 'understand.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['new', 'report', 'education', 'decision', 'democrat', 'account', 'idea', 'certainly', 'dog.', 'present', 'reduce', 'future', 'end', 'i.', 'order', 'name', 'manage', 'rule', 'feeling', 'many', 'instead', 'today.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['new', 'report', 'research', 'state', 'physical', 'ready', 'appear', 'kid', 'choice.', 'loss', 'catch', 'animal', 'yourself.', 'speak', 'produce', 'upon.', 'tell', 'help', 'plan', 'list', 'attack', 'federal', 'set', 'result.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['miracle', 'drug', 'confirmed', 'sources', 'street', 'administration', 'site', 'brother.', 'whether', 'stand', 'least', 'raise', 'performance', 'long.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['new', 'report', 'technology', 'breakthrough', 'well', 'standard', 'manager', 'degree.', 'name', 'prove', 'seem', 'physical', 'break', 'however', 'turn', 'young.', 'important', 'serve', 'recognize', 'wear', 'price.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['celebrity', 'scandal', 'confirmed', 'sources', 'listen', 'knowledge.', 'see', 'former', 'dark', 'leave', 'mr.', 'long', 'week', 'society', 'never', 'forget', 'detail.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['secret', 'cure', 'confirmed', 'sources', 'teach', 'others', 'yard', 'scene', 'class.', 'quickly', 'similar', 'fall', 'star', 'practice.', 'picture', 'water', 'product', 'third.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['hoax', 'confirmed', 'sources', 'fear', 'amount', 'second', 'right', 'address', 'director.', 'base', 'long', 'pressure', 'however', 'understand', 'successful', 'buy', 'whose.', 'agent', 'movement', 'everyone', 'culture', 'operation', 'glass.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['miracle', 'drug', 'confirmed', 'sources', 'return', 'resource', 'condition.', 'story', 'task', 'model', 'east', 'upon', 'site', 'security.', 'remain', 'trip', 'ask.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['miracle', 'drug', 'confirmed', 'sources', 'lawyer', 'treatment', 'head', 'small', 'thing', 'computer.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['hoax', 'confirmed', 'sources', 'public', 'north', 'serious', 'right.', 'also', 'election', 'listen', 'certain.', 'stand', 'plant', 'administration', 'really', 'specific', 'on.', 'hundred', 'ago', 'different.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['secret', 'cure', 'confirmed', 'sources', 'data', 'send', 'foot', 'provide.', 'approach', 'worker', 'rock', 'authority', 'center', 'involve', 'she.', 'happen', 'environmental', 'hand', 'cost', 'serve', 'art.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['new', 'report', 'climate', 'change', 'future', 'bit', 'member', 'avoid', 'chair.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['government', 'cover-up', 'confirmed', 'sources', 'international', 'along', 'teacher', 'mouth', 'movie.', 'author', 'treatment', 'identify', 'expert', 'expert', 'before.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['hoax', 'confirmed', 'sources', 'door', 'agency', 'field', 'office.', 'remember', 'side', 'join', 'position', 'compare', 'billion', 'grow', 'certainly.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F173,Secret Cure Confirmed by Sources,"['secret', 'cure', 'confirmed', 'sources', 'light', 'pm', 'exist.', 'number', 'describe', 'health', 'lose.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F024,Aliens Confirmed by Sources,"['aliens', 'confirmed', 'sources', 'hour', 'design', 'article', 'knowledge', 'return.', 'also', 'house', 'another', 'one', 'three', 'current', 'animal', 'enough.', 'read', 'particularly', 'use', 'minute', 'believe', 'behind.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F096,Celebrity Scandal Confirmed by Sources,"['celebrity', 'scandal', 'confirmed', 'sources', 'million', 'claim', 'stock', 'name.', 'live', 'act', 'onto', 'deal', 'commercial', 'machine', 'save.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
R247,New Report on Public Health,"['new', 'report', 'public', 'health', 'student', 'laugh', 'around', 'meeting', 'perform.', 'government', 'line', 'form', 'which.', 'well', 'college', 'rise', 'kind', 'risk', 'performance', 'however', 'city.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
F226,Government Cover-Up Confirmed by Sources,"['government', 'cover-up', 'confirmed', 'sources', 'must', 'measure', 'majority', 'rich', 'stand', 'mrs', 'science.', 'audience', 'difficult', 'better', 'community', 'feel', 'year', 'must', 'often.', 'third', 'free', 'set.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F100,Flat Earth Confirmed by Sources,"['flat', 'earth', 'confirmed', 'sources', 'book', 'network', 'consumer', 'head', 'main', 'many.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']",FAKE
F246,Government Cover-Up Confirmed by Sources,"['government', 'cover-up', 'confirmed', 'sources', 'one', 'sort', 'specific', 'degree', 'similar.', 'growth', 'face', 'people', 'start', 'life.', 'spring', 'entire', 'two', 'surface', 'unit', 'pass', 'summer.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F183,Aliens Confirmed by Sources,"['aliens', 'confirmed', 'sources', 'might', 'mouth', 'report.', 'school', 'sell.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R063,New Report on Policy,"['new', 'report', 'policy', 'including', 'decision', 'like', 'memory', 'may', 'somebody.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R005,New Report on Election,"['new', 'report', 'election', 'road', 'type', 'perform', 'allow', 'mention', 'ago', 'information.', 'find', 'military', 'raise', 'part.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R084,New Report on Election,"['new', 'report', 'election', 'heart', 'staff', 'plan', 'arm.', 'tv', 'explain', 'old', 'move.', 'better', 'add', 'word.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R124,New Report on Education,"['new', 'report', 'education', 'star', 'compare', 'information', 'generation.', 'play', 'blue', 'question', 'south', 'radio', 'eye.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R118,New Report on Research,"['new', 'report', 'research', 'front', 'evening', 'push', 'drop', 'respond', 'method.', 'laugh', 'need', 'explain', 'imagine', 'finally', 'time.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F001,Aliens Confirmed by Sources,"['aliens', 'confirmed', 'sources', 'learn', 'home', 'none', 'republican', 'start', 'politics.', 'range', 'two', 'market', 'deal', 'painting', 'north.', 'heart', 'impact', 'page', 'close.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F007,Immortal Jellyfish Confirmed by Sources,"['immortal', 'jellyfish', 'confirmed', 'sources', 'guy', 'million', 'test', 'than.', 'among', 'need', 'trouble', 'relationship', 'team.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
F046,Mind Control Confirmed by Sources,"['mind', 'control', 'confirmed', 'sources', 'ten', 'property', 'work', 'to.', 'fight', 'lose', 'prepare', 'company.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R103,New Report on Research,"['new', 'report', 'research', 'tell', 'along', 'face', 'listen', 'staff', 'concern', 'teach', 'operation.', 'baby', 'cost', 'citizen', 'focus', 'speech', 'break', 'point.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
R037,New Report on Budget Report,"['new', 'report', 'budget', 'report', 'see', 'benefit', 'example', 'figure.', 'per', 'forget', 'street', 'even', 'technology.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']",REAL
F193,Secret Cure Confirmed by Sources,"['secret', 'cure', 'confirmed', 'sources', 'system', 'direction', 'question', 'guess', 'remember.', 'picture', 'development', 'look', 'figure', 'hospital', 'pretty', 'stage.', 'onto', 'dark', 'prove', 'culture', 'agent.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R166,New Report on Election,"['new', 'report', 'election', 'mind', 'possible', 'politics', 'despite', 'one.', 'leader', 'various', 'offer', 'economy', 'peace', 'seven', 'cell.', 'write', 'one', 'together.', 'piece', 'peace', 'quickly', 'daughter', 'explain.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
F017,Immortal Jellyfish Confirmed by Sources,"['immortal', 'jellyfish', 'confirmed', 'sources', 'study', 'card', 'authority', 'ever', 'involve', 'happen', 'attorney.', 'reason', 'window', 'whatever', 'happy', 'free', 'buy', 'unit.', 'free', 'reality', 'member', 'baby', 'democrat', 'thus.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
R008,New Report on Economic Growth,"['new', 'report', 'economic', 'growth', 'financial', 'analysis', 'expert', 'player', 'fly.', 'expert', 'home', 'yet', 'soldier', 'onto', 'alone.', 'continue', 'staff', 'make', 'expert', 'affect.', 'experts', 'discuss', 'ongoing', 'developments', 'economic', 'growth.']",REAL
F071,Celebrity Scandal Confirmed by Sources,"['celebrity', 'scandal', 'confirmed', 'sources', 'successful', 'notice', 'always', 'money', 'everyone.', 'size', 'never', 'energy', 'price', 'house', 'become.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F028,Mind Control Confirmed by Sources,"['mind', 'control', 'confirmed', 'sources', 'receive', 'peace', 'effect', 'hand', 'step', 'seat', 'law.', 'reason', 'manager', 'majority', 'third.', 'lose', 'floor', 'agency', 'figure', 'first.', 'study', 'pattern', 'identify', 'question', 'speak', 'government', 'house.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
F227,Immortal Jellyfish Confirmed by Sources,"['immortal', 'jellyfish', 'confirmed', 'sources', 'response', 'usually', 'present', 'hear.', 'start', 'consider', 'able', 'effect', 'anything', 'total', 'color.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
R200,New Report on Public Health,"['new', 'report', 'public', 'health', 'west', 'somebody', 'talk', 'owner', 'poor.', 'standard', 'song', 'ahead', 'consider', 'continue', 'party.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R225,New Report on Climate Change,"['new', 'report', 'climate', 'change', 'describe', 'house', 'cause', 'think', 'one', 'money', 'wide', 'cell.', 'true', 'organization', 'message', 'leader', 'probably', 'finally.', 'remain', 'run', 'pay', 'go.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
R062,New Report on Budget Report,"['new', 'report', 'budget', 'report', 'stop', 'product', 'draw.', 'election', 'three', 'develop', 'game', 'consider', 'beat', 'benefit', 'suggest.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']",REAL
F033,Hoax Confirmed by Sources,"['hoax', 'confirmed', 'sources', 'staff', 'order', 'least', 'since', 'serve.', 'heavy', 'nothing', 'room', 'value', 'big.', 'effort', 'eight', 'reach', 'house', 'later', 'commercial', 'seat', 'daughter.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F012,Hoax Confirmed by Sources,"['hoax', 'confirmed', 'sources', 'skin', 'character', 'method', 'election', 'unit.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
R121,New Report on Research,"['new', 'report', 'research', 'bed', 'society', 'authority', 'end', 'cold', 'send', 'service.', 'hope', 'film', 'road', 'director.', 'meet', 'policy', 'southern', 'pay', 'apply.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F210,Aliens Confirmed by Sources,"['aliens', 'confirmed', 'sources', 'often', 'agency', 'scientist', 'staff', 'half.', 'begin', 'push', 'minute', 'worry', 'business.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F151,Hoax Confirmed by Sources,"['hoax', 'confirmed', 'sources', 'admit', 'think', 'magazine', 'alone', 'politics', 'table.', 'may', 'system', 'glass.', 'least', 'degree', 'listen', 'quickly', 'wish', 'company', 'detail.', 'six', 'measure', 'might', 'position', 'opportunity', 'clear.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F099,Secret Cure Confirmed by Sources,"['secret', 'cure', 'confirmed', 'sources', 'congress', 'sure', 'ok', 'sea', 'rise', 'people.', 'share', 'central', 'walk', 'policy.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R090,New Report on Technology Breakthrough,"['new', 'report', 'technology', 'breakthrough', 'hear', 'art', 'father', 'sea', 'quality', 'sometimes', 'research.', 'five', 'foot', 'art', 'fast', 'letter', 'nothing.', 'begin', 'whole', 'nearly', 'line', 'notice', 'onto.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
R125,New Report on Budget Report,"['new', 'report', 'budget', 'report', 'early', 'method', 'career', 'question.', 'start', 'market', 'main', 'pay', 'bag', 'not.', 'go', 'mouth', 'determine', 'painting.', 'range', 'notice', 'official', 'order', 'medical', 'voice', 'chair', 'meet.', 'experts', 'discuss', 'ongoing', 'developments', 'budget', 'report.']",REAL
R091,New Report on Climate Change,"['new', 'report', 'climate', 'change', 'anyone', 'party', 'item', 'recently', 'reason', 'charge.', 'field', 'animal', 'board.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
R157,New Report on Climate Change,"['new', 'report', 'climate', 'change', 'international', 'form', 'management', 'determine.', 'growth', 'sure', 'voice', 'local', 'value', 'mind', 'certainly.', 'change', 'player', 'chair', 'process', 'anyone.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F098,Miracle Drug Confirmed by Sources,"['miracle', 'drug', 'confirmed', 'sources', 'condition', 'us', 'total.', 'ago', 'maybe', 'concern', 'because.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F164,Immortal Jellyfish Confirmed by Sources,"['immortal', 'jellyfish', 'confirmed', 'sources', 'finally', 'value', 'arm', 'night', 'eight', 'line.', 'turn', 'federal', 'wear', 'century', 'suffer.', '—', 'shocking', 'claims', 'immortal', 'jellyfish', 'surface', 'internet.']",FAKE
R050,New Report on Economic Growth,"['new', 'report', 'economic', 'growth', 'local', 'reflect', 'man', 'stage.', 'experts', 'discuss', 'ongoing', 'developments', 'economic', 'growth.']",REAL
R249,New Report on Climate Change,"['new', 'report', 'climate', 'change', 'special', 'visit', 'trade.', 'development', 'ready', 'meeting', 'bag', 'people.', 'act', 'prevent', 'simply', 'probably.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
R093,New Report on Election,"['new', 'report', 'election', 'heavy', 'along', 'environmental', 'concern.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R131,New Report on Education,"['new', 'report', 'education', 'wind', 'allow', 'lose', 'usually', 'style.', 'movement', 'cause', 'response', 'wife', 'road', 'quite.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
F107,Flat Earth Confirmed by Sources,"['flat', 'earth', 'confirmed', 'sources', 'act', 'ability', 'cultural', 'management', 'relate.', 'old', 'land', 'mean', 'out.', 'usually', 'coach', 'method', 'hour.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']",FAKE
